src,dst,edge_attr
13,106,0.9559999704360962
13,114,0.8939999938011169
13,34,0.949999988079071
13,39,0.8610000014305115
13,58,0.890999972820282
13,86,0.8769999742507935
13,138,0.8939999938011169
13,31,0.8899999856948853
13,124,0.8600000143051147
13,45,0.8669999837875366
13,37,0.8769999742507935
13,11,0.9629999995231628
13,8,0.8970000147819519
13,2,0.9470000267028809
11,114,0.9509999752044678
11,109,0.972000002861023
11,55,0.9509999752044678
11,135,0.9509999752044678
11,31,0.9509999752044678
11,138,0.9509999752044678
11,33,0.9509999752044678
11,45,0.9509999752044678
11,28,0.9509999752044678
11,37,0.9509999752044678
11,76,0.9509999752044678
11,27,0.968999981880188
11,86,0.9509999752044678
11,32,0.9509999752044678
11,24,0.9509999752044678
11,39,0.9509999752044678
11,34,0.9490000009536743
11,8,0.984000027179718
11,2,0.9509999752044678
8,138,0.9750000238418579
8,45,0.9909999966621399
8,55,0.9739999771118164
8,122,0.734000027179718
2,31,0.9779999852180481
2,138,0.9769999980926514
2,39,0.984000027179718
2,45,0.9769999980926514
2,33,0.9779999852180481
2,8,0.9750000238418579
2,37,0.9739999771118164
2,55,0.9769999980926514
2,24,0.9509999752044678
2,109,0.9470000267028809
2,76,0.9470000267028809
2,34,0.9279999732971191
156,138,0.9509999752044678
156,70,0.9729999899864197
156,86,0.9869999885559082
156,109,0.9710000157356262
156,76,0.9729999899864197
156,124,0.9829999804496765
156,83,0.9549999833106995
156,135,0.9509999752044678
156,114,0.9610000252723694
156,106,0.824999988079071
156,122,0.734000027179718
156,69,0.925000011920929
156,62,0.4569999873638153
156,58,0.972000002861023
156,55,0.9779999852180481
156,45,0.9729999899864197
156,39,0.9449999928474426
156,37,0.9509999752044678
156,34,0.824999988079071
156,33,0.9470000267028809
156,32,0.9210000038146973
156,31,0.9660000205039978
156,28,0.9470000267028809
156,27,0.9459999799728394
156,24,0.9509999752044678
156,16,0.515999972820282
156,13,0.8330000042915344
156,11,0.9509999752044678
156,8,0.9729999899864197
156,2,0.9700000286102295
74,103,0.41600000858306885
123,73,0.5519999861717224
93,154,0.4569999873638153
84,40,0.4569999873638153
43,73,0.4569999873638153
92,59,0.47999998927116394
92,40,0.5740000009536743
92,151,0.5740000009536743
40,89,0.4569999873638153
40,162,0.4230000078678131
110,92,0.6710000038146973
110,59,0.5080000162124634
110,40,0.6240000128746033
110,151,0.5740000009536743
44,162,0.4569999873638153
87,162,0.4569999873638153
87,73,0.48500001430511475
87,65,0.4569999873638153
26,87,0.4569999873638153
134,81,0.8619999885559082
134,154,0.4569999873638153
71,103,0.7649999856948853
71,5,0.4569999873638153
103,47,0.8690000176429749
59,89,0.4569999873638153
151,89,0.4569999873638153
151,40,0.5690000057220459
5,162,0.4569999873638153
64,103,0.7649999856948853
64,59,0.46000000834465027
64,151,0.4350000023841858
64,5,0.4569999873638153
86,114,0.9779999852180481
86,109,0.9789999723434448
86,138,0.9800000190734863
86,122,0.734000027179718
86,76,0.9739999771118164
86,55,0.9789999723434448
86,52,0.734000027179718
86,45,0.9800000190734863
86,39,0.9769999980926514
86,37,0.9760000109672546
86,34,0.972000002861023
86,33,0.9779999852180481
86,32,0.8610000014305115
86,31,0.9769999980926514
86,28,0.9539999961853027
86,27,0.9580000042915344
86,24,0.9750000238418579
86,16,0.6370000243186951
86,8,0.968999981880188
86,2,0.9800000190734863
99,86,0.4620000123977661
154,74,0.4830000102519989
154,123,0.4569999873638153
154,162,0.4569999873638153
154,40,0.4569999873638153
154,155,0.4569999873638153
154,118,0.4569999873638153
154,158,0.4569999873638153
154,151,0.4569999873638153
161,155,0.4569999873638153
161,154,0.4569999873638153
17,154,0.4569999873638153
60,67,0.4569999873638153
60,158,0.4569999873638153
60,17,0.4569999873638153
124,135,0.9509999752044678
124,138,0.9509999752044678
124,122,0.734000027179718
124,114,0.9509999752044678
124,109,0.9509999752044678
124,86,0.9869999885559082
124,80,0.734000027179718
124,76,0.972000002861023
124,66,0.734000027179718
124,55,0.9509999752044678
124,52,0.734000027179718
124,45,0.9890000224113464
124,39,0.9449999928474426
124,37,0.9509999752044678
124,34,0.9480000138282776
124,33,0.9679999947547913
124,32,0.9210000038146973
124,31,0.9750000238418579
124,28,0.9769999980926514
124,27,0.968999981880188
124,24,0.9509999752044678
124,16,0.8169999718666077
124,11,0.9509999752044678
124,8,0.984000027179718
124,2,0.9470000267028809
107,124,0.6290000081062317
155,162,0.4569999873638153
155,158,0.4569999873638153
155,96,0.4569999873638153
155,73,0.4569999873638153
162,159,0.4569999873638153
162,158,0.41200000047683716
162,19,0.5260000228881836
153,157,0.9290000200271606
153,155,0.5699999928474426
153,162,0.5419999957084656
153,73,0.4569999873638153
153,152,0.4790000021457672
73,162,0.4569999873638153
73,160,0.4569999873638153
73,158,0.550000011920929
73,108,0.4569999873638153
73,128,0.421999990940094
73,67,0.550000011920929
73,65,0.550000011920929
73,51,0.550000011920929
73,152,0.4569999873638153
73,19,0.4569999873638153
63,162,0.4569999873638153
63,19,0.4569999873638153
7,73,0.4569999873638153
7,63,0.4569999873638153
