#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPS27A	UBQLN1	9606.ENSP00000272317	9606.ENSP00000365576	0	0.962	0	0	0.962
RPS27A	UCHL1	9606.ENSP00000272317	9606.ENSP00000284440	0	0.972	0	0	0.972
RPS27A	UBB	9606.ENSP00000272317	9606.ENSP00000478771	0	0.947	0	0	0.947
RPS27A	UBC	9606.ENSP00000272317	9606.ENSP00000441543	0	0.956	0	0	0.956
RPS27A	UBA52	9606.ENSP00000272317	9606.ENSP00000388107	0	0.990	0	0	0.990
S100A9	SNCA	9606.ENSP00000357727	9606.ENSP00000500990	0	0.488	0	0	0.487
SNCA	SQSTM1	9606.ENSP00000500990	9606.ENSP00000374455	0	0.412	0	0	0.412
SNCA	SNCB	9606.ENSP00000500990	9606.ENSP00000377296	0	0.457	0	0	0.457
SNCA	UBC	9606.ENSP00000500990	9606.ENSP00000441543	0	0.483	0	0	0.483
SPTLC1	SPTLC2	9606.ENSP00000262554	9606.ENSP00000216484	0	0.965	0	0	0.965
SQSTM1	UBC	9606.ENSP00000374455	9606.ENSP00000441543	0	0.619	0	0	0.619
SQSTM1	VDAC1	9606.ENSP00000374455	9606.ENSP00000378487	0	0.457	0	0	0.457
TREM2	TYROBP	9606.ENSP00000362205	9606.ENSP00000262629	0	0.526	0	0	0.526
TSHZ1	TSHZ3	9606.ENSP00000464391	9606.ENSP00000240587	0	0.596	0	0	0.596
UBA52	UCHL1	9606.ENSP00000388107	9606.ENSP00000284440	0	0.934	0	0	0.934
UBA52	UBQLN1	9606.ENSP00000388107	9606.ENSP00000365576	0	0.922	0	0	0.922
UBA52	UBB	9606.ENSP00000388107	9606.ENSP00000478771	0	0.948	0	0	0.948
UBA52	UBC	9606.ENSP00000388107	9606.ENSP00000441543	0	0.969	0	0	0.969
UBB	UCHL1	9606.ENSP00000478771	9606.ENSP00000284440	0	0.930	0	0	0.930
UBB	UBQLN1	9606.ENSP00000478771	9606.ENSP00000365576	0	0.925	0	0	0.925
UBB	UBC	9606.ENSP00000478771	9606.ENSP00000441543	0	0.900	0	0	0.900
UBC	UCHL1	9606.ENSP00000441543	9606.ENSP00000284440	0	0.972	0	0	0.972
UBC	UBQLN1	9606.ENSP00000441543	9606.ENSP00000365576	0	0.955	0	0	0.955
UBQLN1	UBXN4	9606.ENSP00000365576	9606.ENSP00000272638	0	0.420	0	0	0.420
