"#node1","automated_textmining","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","homology","interaction","name","node2","Origin","selected","shared interaction","shared name"
"LRRK2","0","0.457","0","2345.1606726606715","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000500990","SNCA","3","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000500990"
"LRRK2","0","0.457","0","182.65079365079362","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000420617","MFN1","2","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000420617"
"LRRK2","0","0.483","0","701.119047619048","0.483","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000356107","RAB29","2","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000356107"
"CHCHD2","0","0.461","0","304.0","0.462","0","interacts with","9606.ENSP00000378812 (interacts with) 9606.ENSP00000362873","NDUFA8","2","false","interacts with","9606.ENSP00000378812 (interacts with) 9606.ENSP00000362873"
"CHM","0","0.457","0","335.10871876661355","0.457","0","interacts with","9606.ENSP00000350386 (interacts with) 9606.ENSP00000222256","RAB3A","2","false","interacts with","9606.ENSP00000350386 (interacts with) 9606.ENSP00000222256"
"CHM","0","0.435","0","144.82041467304614","0.435","0","interacts with","9606.ENSP00000350386 (interacts with) 9606.ENSP00000264710","RAB10","2","false","interacts with","9606.ENSP00000350386 (interacts with) 9606.ENSP00000264710"
"CHM","0","0.46","0","84.58468899521532","0.46","0","interacts with","9606.ENSP00000350386 (interacts with) 9606.ENSP00000331748","RAB12","2","false","interacts with","9606.ENSP00000350386 (interacts with) 9606.ENSP00000331748"
"CHM","0","0.765","0","131.34444444444466","0.765","0","interacts with","9606.ENSP00000350386 (interacts with) 9606.ENSP00000382341","RABGGTA","2","false","interacts with","9606.ENSP00000350386 (interacts with) 9606.ENSP00000382341"
"RAB3A","0","0.457","0","953.1785600364552","0.457","0","interacts with","9606.ENSP00000222256 (interacts with) 9606.ENSP00000500990","SNCA","2","false","interacts with","9606.ENSP00000222256 (interacts with) 9606.ENSP00000500990"
"RAB10","0","0.569","0","81.97619047619051","0.569","0","interacts with","9606.ENSP00000264710 (interacts with) 9606.ENSP00000300935","RAB8A","2","false","interacts with","9606.ENSP00000264710 (interacts with) 9606.ENSP00000300935"
"RAB10","0","0.457","0","74.92041467304618","0.457","0","interacts with","9606.ENSP00000264710 (interacts with) 9606.ENSP00000366070","RILPL1","2","false","interacts with","9606.ENSP00000264710 (interacts with) 9606.ENSP00000366070"
"RAB12","0","0.457","0","83.40510366826163","0.457","0","interacts with","9606.ENSP00000331748 (interacts with) 9606.ENSP00000366070","RILPL1","2","false","interacts with","9606.ENSP00000331748 (interacts with) 9606.ENSP00000366070"
"RABGGTA","0","0.869","0","304.0","0.869","0","interacts with","9606.ENSP00000382341 (interacts with) 9606.ENSP00000317473","RABGGTB","2","false","interacts with","9606.ENSP00000382341 (interacts with) 9606.ENSP00000317473"
"CHML","0","0.457","0","359.5365079365082","0.457","0","interacts with","9606.ENSP00000355511 (interacts with) 9606.ENSP00000222256","RAB3A","2","false","interacts with","9606.ENSP00000355511 (interacts with) 9606.ENSP00000222256"
"CHML","0","0.765","0","128.35238095238114","0.765","0","interacts with","9606.ENSP00000355511 (interacts with) 9606.ENSP00000382341","RABGGTA","2","false","interacts with","9606.ENSP00000355511 (interacts with) 9606.ENSP00000382341"
"CLTC","0","0.457","0","604.0","0.457","0","interacts with","9606.ENSP00000479606 (interacts with) 9606.ENSP00000298910","LRRK2","2","false","interacts with","9606.ENSP00000479606 (interacts with) 9606.ENSP00000298910"
"CLTC","0","0.862","0","304.0","0.862","0","interacts with","9606.ENSP00000479606 (interacts with) 9606.ENSP00000360108","DNAJC6","2","false","interacts with","9606.ENSP00000479606 (interacts with) 9606.ENSP00000360108"
"FBXO7","0","0.457","0","304.0","0.457","0","interacts with","9606.ENSP00000266087 (interacts with) 9606.ENSP00000364204","PINK1","2","false","interacts with","9606.ENSP00000266087 (interacts with) 9606.ENSP00000364204"
"PINK1","0","0.457","0","70.92077922077921","0.457","0","interacts with","9606.ENSP00000364204 (interacts with) 9606.ENSP00000351132","RHOT1","2","false","interacts with","9606.ENSP00000364204 (interacts with) 9606.ENSP00000351132"
"PINK1","0","0.485","0","146.15810855810858","0.485","0","interacts with","9606.ENSP00000364204 (interacts with) 9606.ENSP00000355865","PRKN","2","false","interacts with","9606.ENSP00000364204 (interacts with) 9606.ENSP00000355865"
"PINK1","0","0.457","0","316.7626706626704","0.457","0","interacts with","9606.ENSP00000364204 (interacts with) 9606.ENSP00000500990","SNCA","2","false","interacts with","9606.ENSP00000364204 (interacts with) 9606.ENSP00000500990"
"GBA","0","0.457","0","304.0","0.457","0","interacts with","9606.ENSP00000314508 (interacts with) 9606.ENSP00000500990","SNCA","2","false","interacts with","9606.ENSP00000314508 (interacts with) 9606.ENSP00000500990"
"GDI1","0","0.574","0","74.25374800637955","0.574","0","interacts with","9606.ENSP00000394071 (interacts with) 9606.ENSP00000264710","RAB10","2","false","interacts with","9606.ENSP00000394071 (interacts with) 9606.ENSP00000264710"
"GDI1","0","0.624","0","296.21802232854895","0.624","0","interacts with","9606.ENSP00000394071 (interacts with) 9606.ENSP00000300935","RAB8A","2","false","interacts with","9606.ENSP00000394071 (interacts with) 9606.ENSP00000300935"
"GDI1","0","0.508","0","82.73843700159495","0.508","0","interacts with","9606.ENSP00000394071 (interacts with) 9606.ENSP00000331748","RAB12","2","false","interacts with","9606.ENSP00000394071 (interacts with) 9606.ENSP00000331748"
"GDI1","0","0.671","0","2.0","0.671","0","interacts with","9606.ENSP00000394071 (interacts with) 9606.ENSP00000369538","GDI2","2","false","interacts with","9606.ENSP00000394071 (interacts with) 9606.ENSP00000369538"
"RAB8A","0","0.422","0","1289.2690134426978","0.423","0","interacts with","9606.ENSP00000300935 (interacts with) 9606.ENSP00000500990","SNCA","2","false","interacts with","9606.ENSP00000300935 (interacts with) 9606.ENSP00000500990"
"RAB8A","0","0.457","0","296.88468899521547","0.457","0","interacts with","9606.ENSP00000300935 (interacts with) 9606.ENSP00000366070","RILPL1","2","false","interacts with","9606.ENSP00000300935 (interacts with) 9606.ENSP00000366070"
"GDI2","0","0.574","0","74.25374800637955","0.574","0","interacts with","9606.ENSP00000369538 (interacts with) 9606.ENSP00000264710","RAB10","2","false","interacts with","9606.ENSP00000369538 (interacts with) 9606.ENSP00000264710"
"GDI2","0","0.574","0","296.21802232854895","0.574","0","interacts with","9606.ENSP00000369538 (interacts with) 9606.ENSP00000300935","RAB8A","2","false","interacts with","9606.ENSP00000369538 (interacts with) 9606.ENSP00000300935"
"GDI2","0","0.48","0","82.73843700159495","0.48","0","interacts with","9606.ENSP00000369538 (interacts with) 9606.ENSP00000331748","RAB12","2","false","interacts with","9606.ENSP00000369538 (interacts with) 9606.ENSP00000331748"
"GPR37","0","0.457","0","304.0","0.457","0","interacts with","9606.ENSP00000306449 (interacts with) 9606.ENSP00000355865","PRKN","2","false","interacts with","9606.ENSP00000306449 (interacts with) 9606.ENSP00000355865"
