"#node1","automated_textmining","combined_score","database_annotated","experimentally_determined_interaction","homology","interaction","name","node2","Origin","selected","shared interaction","shared name"
"JUN","0","0.457","0","0.457","0","interacts with","9606.ENSP00000360266 (interacts with) 9606.ENSP00000272317","RPS27A","1","false","interacts with","9606.ENSP00000360266 (interacts with) 9606.ENSP00000272317"
"JUN","0","0.457","0","0.457","0","interacts with","9606.ENSP00000360266 (interacts with) 9606.ENSP00000329357","SP1","1","false","interacts with","9606.ENSP00000360266 (interacts with) 9606.ENSP00000329357"
"HERPUD1","0","0.422","0","0.422","0","interacts with","9606.ENSP00000409555 (interacts with) 9606.ENSP00000272317","RPS27A","1","false","interacts with","9606.ENSP00000409555 (interacts with) 9606.ENSP00000272317"
"HERPUD1","0","0.457","0","0.457","0","interacts with","9606.ENSP00000409555 (interacts with) 9606.ENSP00000326366","PSEN1","1","false","interacts with","9606.ENSP00000409555 (interacts with) 9606.ENSP00000326366"
"HRAS","0","0.412","0","0.412","0","interacts with","9606.ENSP00000407586 (interacts with) 9606.ENSP00000385751","MARK2","1","false","interacts with","9606.ENSP00000407586 (interacts with) 9606.ENSP00000385751"
"MARK2","0","0.457","0","0.457","0","interacts with","9606.ENSP00000385751 (interacts with) 9606.ENSP00000264335","YWHAE","1","false","interacts with","9606.ENSP00000385751 (interacts with) 9606.ENSP00000264335"
"MARK2","0","0.647","0","0.647","0","interacts with","9606.ENSP00000385751 (interacts with) 9606.ENSP00000411397","MARK3","1","false","interacts with","9606.ENSP00000385751 (interacts with) 9606.ENSP00000411397"
"KCNIP3","0","0.457","0","0.457","0","interacts with","9606.ENSP00000295225 (interacts with) 9606.ENSP00000326366","PSEN1","1","false","interacts with","9606.ENSP00000295225 (interacts with) 9606.ENSP00000326366"
"KCNIP3","0","0.457","0","0.457","0","interacts with","9606.ENSP00000295225 (interacts with) 9606.ENSP00000355747","PSEN2","1","false","interacts with","9606.ENSP00000295225 (interacts with) 9606.ENSP00000355747"
"PSEN2","0","0.457","0","0.457","0","interacts with","9606.ENSP00000355747 (interacts with) 9606.ENSP00000365576","UBQLN1","1","false","interacts with","9606.ENSP00000355747 (interacts with) 9606.ENSP00000365576"
"LMNA","0","0.688","0","0.688","0","interacts with","9606.ENSP00000357283 (interacts with) 9606.ENSP00000261366","LMNB1","1","false","interacts with","9606.ENSP00000357283 (interacts with) 9606.ENSP00000261366"
"LMNB1","0","0.457","0","0.457","0","interacts with","9606.ENSP00000261366 (interacts with) 9606.ENSP00000298910","LRRK2","1","false","interacts with","9606.ENSP00000261366 (interacts with) 9606.ENSP00000298910"
"SPTLC1","0","0.965","0","0.965","0","interacts with","9606.ENSP00000262554 (interacts with) 9606.ENSP00000216484","SPTLC2","1","false","interacts with","9606.ENSP00000262554 (interacts with) 9606.ENSP00000216484"
"SQSTM1","0","0.619","0","0.619","0","interacts with","9606.ENSP00000374455 (interacts with) 9606.ENSP00000441543","UBC","1","false","interacts with","9606.ENSP00000374455 (interacts with) 9606.ENSP00000441543"
"SQSTM1","0","0.457","0","0.457","0","interacts with","9606.ENSP00000374455 (interacts with) 9606.ENSP00000378487","VDAC1","1","false","interacts with","9606.ENSP00000374455 (interacts with) 9606.ENSP00000378487"
"MARK4","0","0.42","0","0.421","0","interacts with","9606.ENSP00000262891 (interacts with) 9606.ENSP00000264335","YWHAE","1","false","interacts with","9606.ENSP00000262891 (interacts with) 9606.ENSP00000264335"
"MARK1","0","0.42","0","0.421","0","interacts with","9606.ENSP00000483424 (interacts with) 9606.ENSP00000264335","YWHAE","1","false","interacts with","9606.ENSP00000483424 (interacts with) 9606.ENSP00000264335"
"MARK1","0","0.584","0","0.584","0","interacts with","9606.ENSP00000483424 (interacts with) 9606.ENSP00000385751","MARK2","1","false","interacts with","9606.ENSP00000483424 (interacts with) 9606.ENSP00000385751"
"MT-ND1","0","0.945","0","0.945","0","interacts with","9606.ENSP00000354687 (interacts with) 9606.ENSP00000355046","MT-ND2","1","false","interacts with","9606.ENSP00000354687 (interacts with) 9606.ENSP00000355046"
"UBC","0","0.972","0","0.972","0","interacts with","9606.ENSP00000441543 (interacts with) 9606.ENSP00000284440","UCHL1","1","false","interacts with","9606.ENSP00000441543 (interacts with) 9606.ENSP00000284440"
"UBC","0","0.955","0","0.955","0","interacts with","9606.ENSP00000441543 (interacts with) 9606.ENSP00000365576","UBQLN1","1","false","interacts with","9606.ENSP00000441543 (interacts with) 9606.ENSP00000365576"
"UBB","0","0.93","0","0.93","0","interacts with","9606.ENSP00000478771 (interacts with) 9606.ENSP00000284440","UCHL1","1","false","interacts with","9606.ENSP00000478771 (interacts with) 9606.ENSP00000284440"
"UBB","0","0.925","0","0.925","0","interacts with","9606.ENSP00000478771 (interacts with) 9606.ENSP00000365576","UBQLN1","1","false","interacts with","9606.ENSP00000478771 (interacts with) 9606.ENSP00000365576"
"UBB","0","0.9","0","0.9","0","interacts with","9606.ENSP00000478771 (interacts with) 9606.ENSP00000441543","UBC","1","false","interacts with","9606.ENSP00000478771 (interacts with) 9606.ENSP00000441543"
"UBA52","0","0.934","0","0.934","0","interacts with","9606.ENSP00000388107 (interacts with) 9606.ENSP00000284440","UCHL1","1","false","interacts with","9606.ENSP00000388107 (interacts with) 9606.ENSP00000284440"
"UBA52","0","0.922","0","0.922","0","interacts with","9606.ENSP00000388107 (interacts with) 9606.ENSP00000365576","UBQLN1","1","false","interacts with","9606.ENSP00000388107 (interacts with) 9606.ENSP00000365576"
"UBA52","0","0.948","0","0.948","0","interacts with","9606.ENSP00000388107 (interacts with) 9606.ENSP00000478771","UBB","1","false","interacts with","9606.ENSP00000388107 (interacts with) 9606.ENSP00000478771"
"UBA52","0","0.969","0","0.969","0","interacts with","9606.ENSP00000388107 (interacts with) 9606.ENSP00000441543","UBC","1","false","interacts with","9606.ENSP00000388107 (interacts with) 9606.ENSP00000441543"
"PRDX1","0","0.636","0","0.636","0","interacts with","9606.ENSP00000262746 (interacts with) 9606.ENSP00000301522","PRDX2","1","false","interacts with","9606.ENSP00000262746 (interacts with) 9606.ENSP00000301522"
"PSMD4","0","0.974","0","0.974","0","interacts with","9606.ENSP00000357876 (interacts with) 9606.ENSP00000272317","RPS27A","1","false","interacts with","9606.ENSP00000357876 (interacts with) 9606.ENSP00000272317"
"PSMD4","0","0.736","0","0.736","0","interacts with","9606.ENSP00000357876 (interacts with) 9606.ENSP00000365576","UBQLN1","1","false","interacts with","9606.ENSP00000357876 (interacts with) 9606.ENSP00000365576"
"PSMD4","0","0.953","0","0.953","0","interacts with","9606.ENSP00000357876 (interacts with) 9606.ENSP00000388107","UBA52","1","false","interacts with","9606.ENSP00000357876 (interacts with) 9606.ENSP00000388107"
"PSMD4","0","0.956","0","0.956","0","interacts with","9606.ENSP00000357876 (interacts with) 9606.ENSP00000441543","UBC","1","false","interacts with","9606.ENSP00000357876 (interacts with) 9606.ENSP00000441543"
"PSMD4","0","0.963","0","0.963","0","interacts with","9606.ENSP00000357876 (interacts with) 9606.ENSP00000478771","UBB","1","false","interacts with","9606.ENSP00000357876 (interacts with) 9606.ENSP00000478771"
"RBM25","0","0.461","0","0.462","0","interacts with","9606.ENSP00000261973 (interacts with) 9606.ENSP00000334538","SREK1","1","false","interacts with","9606.ENSP00000261973 (interacts with) 9606.ENSP00000334538"
"S100A9","0","0.487","0","0.488","0","interacts with","9606.ENSP00000357727 (interacts with) 9606.ENSP00000500990","SNCA","1","false","interacts with","9606.ENSP00000357727 (interacts with) 9606.ENSP00000500990"
"TSHZ1","0","0.596","0","0.596","0","interacts with","9606.ENSP00000464391 (interacts with) 9606.ENSP00000240587","TSHZ3","1","false","interacts with","9606.ENSP00000464391 (interacts with) 9606.ENSP00000240587"
